fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,is_minority_owned,total_obligation
2025,37021,NC,Department of Agriculture,532412,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",true,false,false,false,22000.0
2025,13021,GA,General Services Administration,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,true,false,false,false,6979831.560000005
2025,51810,VA,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,false,false,224584457.08
2025,55079,WI,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,true,true,true,361898.09
2025,26125,MI,General Services Administration,423710,HARDWARE MERCHANT WHOLESALERS,true,false,false,false,817323.3300000004
2025,12095,FL,Department of Veterans Affairs,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,false,124716.25
2025,34039,NJ,Department of Defense,311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,true,false,false,false,9504948.889999999
2025,25023,MA,General Services Administration,332510,HARDWARE MANUFACTURING,true,false,false,false,532207.0000000001
2025,48201,TX,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,false,false,false,2805918.810000001
2025,17201,IL,Department of Defense,333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,true,false,false,false,1481216.2599999995
2025,42091,PA,General Services Administration,332510,HARDWARE MANUFACTURING,true,true,false,true,171147.68
2025,05007,AR,Department of Defense,311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,true,false,false,false,747008.0500000002
2025,34003,NJ,Department of Defense,332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",true,false,false,false,108230.74
2025,48147,TX,Department of Veterans Affairs,238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",true,false,true,false,80367.0
2025,36047,NY,General Services Administration,326111,PLASTICS BAG MANUFACTURING,true,true,false,false,445903.01
2025,55117,WI,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,true,false,false,5319693.71
2025,34013,NJ,General Services Administration,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,true,false,false,false,169772.3
